UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
193645,38400,33900,460.0,470.0
193654,55200,44500,580.0,575.0
193900,78600,61900,670.0,695.0
193973,45300,42800,510.0,520.0
194091,68100,55100,515.0,550.0
194116,53300,52200,478.0,512.0
194161,46700,41300,452.0,447.0
194310,66800,60300,525.0,525.0
194578,48900,43400,575.0,590.0
194824,86000,82000,660.0,720.0
194958,45700,40900,525.0,535.0
195003,67800,62400,600.0,635.0
195164,52700,47700,520.0,527.0
195173,50300,45700,465.0,465.0
195243,50500,46900,474.0,471.0
195304,48000,43000,670.0,615.0
195526,57000,49700,615.0,610.0
195544,53900,50400,500.0,505.0
195720,52500,47800,520.0,540.0
195809,62400,55200,530.0,545.0
196006,45500,41800,465.0,480.0
196015,39600,35700,455.0,460.0
196033,39500,35000,505.0,500.0
196042,55800,51700,475.0,495.0
196051,38400,35200,435.0,435.0
196060,57600,51500,535.0,545.0
196079,68100,61600,645.0,670.0
196088,62100,52600,565.0,605.0
196097,62600,57600,605.0,655.0
196103,49800,45600,575.0,590.0
196112,55900,51000,565.0,595.0
196121,45500,42600,500.0,520.0
196130,42200,39800,440.0,438.0
196149,49200,47000,520.0,545.0
196158,44700,41700,510.0,500.0
196167,53400,48800,595.0,600.0
196176,48700,45000,550.0,555.0
196185,46700,43400,535.0,535.0
196194,47100,43900,545.0,550.0
196219,41300,35200,555.0,520.0
196237,47500,44300,490.0,480.0
196246,46200,42400,545.0,555.0
196291,86200,82800,545.0,575.0
196413,69200,62100,580.0,610.0
197027,98600,88100,615.0,655.0
197133,61500,54600,710.0,705.0
197151,47800,41800,535.0,548.0
197230,39200,35100,495.0,493.0
197708,78800,58500,610.0,615.0
197869,43600,38800,565.0,570.0
197911,39400,38100,470.0,475.0
197984,44400,38200,485.0,500.0
198109,49900,48600,465.0,475.0
198136,58000,45900,505.0,520.0
198215,42700,39400,485.0,485.0
198303,36200,34300,403.0,405.0
198385,71100,58900,675.0,670.0
198419,114500,84400,725.0,750.0
198464,45800,40500,520.0,530.0
198507,32200,30400,430.0,440.0
198516,58700,51900,595.0,595.0
198543,34600,31200,435.0,435.0
198561,41600,38700,490.0,495.0
198598,41000,36900,445.0,460.0
198695,42900,39000,544.0,554.0
198747,40300,33900,515.0,480.0
198756,31400,28400,420.0,408.0
198835,43600,38500,485.0,495.0
198862,26100,23400,365.0,360.0
198871,30000,26900,405.0,410.0
198899,33800,31500,470.0,470.0
198950,43500,39500,512.0,510.0
198969,43700,39300,470.0,490.0
199032,42500,37000,485.0,470.0
199069,43700,39500,530.0,555.0
199102,39300,34700,460.0,470.0
199111,38800,34500,585.0,560.0
199120,68800,55600,650.0,665.0
199139,50300,44000,550.0,565.0
199148,40900,37500,525.0,515.0
199157,35300,32900,435.0,440.0
199184,46700,35500,585.0,550.0
199193,59500,52500,615.0,645.0
199209,41900,38600,445.0,460.0
199218,46600,41600,595.0,600.0
199272,36900,36000,461.0,444.0
199281,36400,34400,470.0,455.0
199306,45000,39200,450.0,465.0
199412,49400,42200,520.0,520.0
199458,33000,30800,423.0,509.0
199582,30000,27300,365.0,365.0
199607,37400,36300,545.0,530.0
199698,40100,37200,435.0,485.0
199962,55700,43200,515.0,520.0
199999,37200,33200,435.0,435.0
200004,41300,37700,505.0,510.0
200059,49300,41700,490.0,535.0
200156,49600,43800,505.0,510.0
200217,53000,48000,533.0,518.0
200226,43300,39300,375.0,429.0
200253,46900,41200,485.0,520.0
200280,57800,48700,530.0,545.0
200332,55500,48200,570.0,575.0
200484,31700,27000,433.0,413.0
200572,41700,39300,440.0,440.0
200800,41800,36500,515.0,530.0
201104,42900,40400,541.0,524.0
201441,45300,40500,510.0,515.0
201548,48400,44000,525.0,540.0
201645,89300,74600,660.0,725.0
201654,46800,41300,600.0,595.0
201690,28600,26100,385.0,385.0
201821,56100,56200,502.0,477.0
201858,36800,32700,466.0,457.0
201885,49700,42300,575.0,585.0
202046,41600,36600,570.0,545.0
202134,46400,41300,515.0,510.0
202480,61400,55100,555.0,575.0
202514,46500,41000,470.0,430.0
202523,57600,48800,635.0,650.0
202763,49100,43200,515.0,475.0
203085,45700,39300,475.0,490.0
203128,46900,42700,475.0,479.0
203368,61100,53800,540.0,555.0
203517,42400,38000,525.0,530.0
203535,54500,48700,675.0,660.0
203580,40600,36200,465.0,465.0
203757,41300,36500,470.0,510.0
203775,48100,41700,480.0,465.0
